178.29,659000,98400
178.81,665000,97000
179.91,699000,95600
178.82,679000,95600
180.87,687000,96000
180.3,688000,95000
178.98,698000,92800
178.67,683000,93800
179.65,684000,92500
181.71,694000,95200
182.39,706000,95400
178.27,697000,94300
173.81,680000,92800
174.93,689000,91700
170.6,687000,90700
168.04,685000,88200
171.79,698000,88500
173.52,714000,89100
174.71,716000,87400
178.64,720000,86400
180.65,740000,87200
178.07,730000,85100
177.92,725000,86500
172.67,704000,83100
173.66,706000,82400
172.39,706000,81900
169.44,690000,80200
170.93,691000,80200
172.68,687000,82900
170.61,678000,83000
171.65,673000,82800
168.31,654000,81000
169.8,656000,79900
172.4,673000,80000
174.28,683000,80800
174.04,672000,81600
173.26,670000,82000
176.18,681000,84000
176.96,681000,84900
178.1,691000,84100
177.45,687000,83100
176.85,686000,82100
171.67,652000,83600
173.86,658000,81700
170.13,629000,80000
169.76,623000,80000
169.17,615000,80700
170.37,620000,81200
172.82,632000,83200
171.1,624000,83700
172.28,629000,83700
172.66,632000,83300
173.48,637000,83600
174.26,638000,83000
172.87,635000,82200
169.28,614000,80700
169.68,608000,80900
170.86,609000,81400
172.44,624000,79300
172.77,628000,81300
172.96,626000,81300
173.61,623000,81900
176.21,630000,81700
178.89,646000,82400
179.77,653000,85100
179.97,648000,88000
181.1,657000,87200
181.97,654000,86100
181.31,642000,86000
179.61,636000,85000
179.13,630000,85000
181.91,638000,86100
185.67,655000,87600
184.3,648000,88000
184.9,655000,88000
186.34,665000,88200
185.86,663000,89700
188.2,690000,88000
185.41,673000,85100
185.54,660000,85400
188.34,668000,87000
188.4,664000,84400
184.1,644000,82900
186.17,649000,81300
186.03,639000,80300
186.98,645000,81900
188.79,655000,85000
188.51,661000,84700
188.62,657000,84200
190.2,663000,83500
187.27,655000,82800
183.08,650000,81200
179,641000,81300
181.69,653000,82700
177.18,641000,81200
177.94,638000,81300
173.6,624000,78700
172.78,630000,76800
173.36,629000,76200
168.33,616000,74600
171.83,620000,75500
172.64,622000,77200
171.01,612000,73500
168.03,606000,70900
169.85,614000,72100
168.83,613000,77000
164.17,599000,76300
158.11,575000,75000
159.61,575000,76400
160.05,572000,75500
155.43,549000,72100
157.7,553000,73000
157.36,553000,73900
163.05,571000,77600
161.79,564000,78500
158.48,556000,74300
158.63,556000,74800
160.2,565000,76000
158.88,568000,77000
160.18,582000,76800
161.36,583000,77900
160.18,580000,78000
163.3,590000,79500
167.45,603000,80600
